epoch,step,test_mse_loss,test_psnr,test_snr,test_ssim,train_lr,train_mean_grad_norm,train_mse_loss,val_mse_loss,val_psnr,val_snr,val_ssim
0,49,,,,,9.999999747378752e-05,0.005315001122653484,0.24928486347198486,,,,
0,99,,,,,9.999999747378752e-05,0.008615451864898205,0.07040386646986008,,,,
0,149,,,,,9.999999747378752e-05,0.0007553093018941581,0.03840947896242142,,,,
0,199,,,,,9.999999747378752e-05,0.008900966495275497,0.029213828966021538,,,,
0,249,,,,,9.999999747378752e-05,0.001302120042964816,0.2293364554643631,,,,
0,299,,,,,9.999999747378752e-05,0.003324249992147088,0.03751504048705101,,,,
0,349,,,,,9.999999747378752e-05,0.0038718522991985083,0.09361899644136429,,,,
0,399,,,,,9.999999747378752e-05,0.0008850937010720372,0.016659216955304146,,,,
0,449,,,,,9.999999747378752e-05,0.0009770180331543088,0.01709483005106449,,,,
0,499,,,,,9.999999747378752e-05,0.0012311632744967937,0.029733406379818916,,,,
0,549,,,,,9.999999747378752e-05,0.00039654108695685863,0.015325762331485748,,,,
0,599,,,,,9.999999747378752e-05,0.001159520703367889,0.018273282796144485,,,,
0,649,,,,,9.999999747378752e-05,0.0014479393139481544,0.008353624492883682,,,,
0,699,,,,,9.999999747378752e-05,0.0003640461654867977,0.09069501608610153,,,,
0,749,,,,,9.999999747378752e-05,0.0008561632130295038,0.0020766095258295536,,,,
0,799,,,,,9.999999747378752e-05,0.00042974570533260703,0.03931635245680809,,,,
0,799,,,,,,,,0.025545375421643257,22.682714462280273,12.379843711853027,0.6051763892173767
1,849,,,,,7.000000186963007e-05,0.0005998649867251515,0.016471995040774345,,,,
1,899,,,,,7.000000186963007e-05,0.00043762498535215855,0.053724505007267,,,,
1,949,,,,,7.000000186963007e-05,0.00030494402744807303,0.01082170382142067,,,,
1,999,,,,,7.000000186963007e-05,0.00315743125975132,0.047971200197935104,,,,
1,1049,,,,,7.000000186963007e-05,0.0008095909142866731,0.016806501895189285,,,,
1,1099,,,,,7.000000186963007e-05,0.0006563654751516879,0.011588453315198421,,,,
1,1149,,,,,7.000000186963007e-05,0.000569819298107177,0.01730765961110592,,,,
1,1199,,,,,7.000000186963007e-05,0.00030290515860542655,0.008336872793734074,,,,
